song,artist,credits,last,peak,weeks,date
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",1,1,18,2020-01-04
Good As Hell,Lizzo,Ricky Reed,2,1,16,2020-01-04
Lose You To Love Me,Selena Gomez,Mattman & Robin,3,3,10,2020-01-04
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",4,4,15,2020-01-04
Someone You Loved,Lewis Capaldi,TMS,5,1,28,2020-01-04
Panini,Lil Nas X,"Take A Daytrip, Dot Da Genius",7,6,23,2020-01-04
Trampoline,SHAED,"SHAED, A.Mendoza",6,4,30,2020-01-04
Dance Monkey,Tones And I,K.Kersting,9,8,10,2020-01-04
Don't Start Now,Dua Lipa,I.Kirkpatrick,11,9,8,2020-01-04
Graveyard,Halsey,"J.Bellion, L.Bell, Ojivolta, The Monsters & Strangerz",10,10,15,2020-01-04
Only Human,Jonas Brothers,Shellback,8,3,26,2020-01-04
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,12,12,12,2020-01-04
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",15,13,6,2020-01-04
Truth Hurts,Lizzo,"Ricky Reed, Tele",13,1,31,2020-01-04
Time,NF,"T.Profitt, NF",14,9,22,2020-01-04
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",17,16,5,2020-01-04
Lover,Taylor Swift,"J.M.Antonoff, T.Swift",16,16,17,2020-01-04
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",18,18,9,2020-01-04
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",20,19,4,2020-01-04
Everything I Wanted,Billie Eilish,Finneas,19,19,5,2020-01-04
Nice To Meet Ya,Niall Horan, J.Bunetta,21,19,13,2020-01-04
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",23,22,3,2020-01-04
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",25,23,11,2020-01-04
What Am I,Why Don't We,(),22,22,17,2020-01-04
Raising Hell,Kesha Featuring Big Freedia,(),24,24,8,2020-01-04
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",26,26,7,2020-01-04
My Type,Saweetie,London On Da Track,27,24,14,2020-01-04
Make It Right,BTS Featuring Lauv,FRED,29,28,8,2020-01-04
Slow Dance,AJ Mitchell & Ava Max,(),28,28,13,2020-01-04
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",32,30,4,2020-01-04
Good Thing,Zedd & Kehlani,"Zedd, Starsmith, Lostboy",31,31,5,2020-01-04
We Made It,Louis Tomlinson,(),33,32,3,2020-01-04
All The Good Girls Go To Hell,Billie Eilish,Finneas,34,20,12,2020-01-04
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",39,34,2,2020-01-04
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,-,35,1,2020-01-04
Checklist,MAX Featuring Chromeo,(),36,36,2,2020-01-04
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",35,35,5,2020-01-04
Juicy,Doja Cat & Tyga,"TYSON TRAX, Yeti",40,38,2,2020-01-04
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,"L.Bell, Andrew Watt",38,36,9,2020-01-04
Yellow Hearts,Ant Saunders,A.Saunders,-,40,1,2020-01-04
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",1,1,19,2020-01-11
Good As Hell,Lizzo,Ricky Reed,2,1,17,2020-01-11
Lose You To Love Me,Selena Gomez,Mattman & Robin,3,3,11,2020-01-11
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",4,4,16,2020-01-11
Someone You Loved,Lewis Capaldi,TMS,5,1,29,2020-01-11
Panini,Lil Nas X,"Take A Daytrip, Dot Da Genius",6,6,24,2020-01-11
Dance Monkey,Tones And I,K.Kersting,8,7,11,2020-01-11
Trampoline,SHAED,"SHAED, A.Mendoza",7,4,31,2020-01-11
Don't Start Now,Dua Lipa,I.Kirkpatrick,9,9,9,2020-01-11
Only Human,Jonas Brothers,Shellback,11,3,27,2020-01-11
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,12,11,13,2020-01-11
Graveyard,Halsey,"J.Bellion, L.Bell, Ojivolta, The Monsters & Strangerz",10,10,16,2020-01-11
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",13,13,7,2020-01-11
Truth Hurts,Lizzo,"Ricky Reed, Tele",14,1,32,2020-01-11
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",16,15,6,2020-01-11
Lover,Taylor Swift,"J.M.Antonoff, T.Swift",17,16,18,2020-01-11
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",18,17,10,2020-01-11
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",19,18,5,2020-01-11
Everything I Wanted,Billie Eilish,Finneas,20,19,6,2020-01-11
Nice To Meet Ya,Niall Horan,J.Bunetta,21,19,14,2020-01-11
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",22,21,4,2020-01-11
Yummy,Justin Bieber,"Kid Culture, Poo Bear, S.Sirota",-,22,1,2020-01-11
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",23,23,12,2020-01-11
Raising Hell,Kesha Featuring Big Freedia,(),25,24,9,2020-01-11
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",26,25,8,2020-01-11
What Am I,Why Don't We,(),24,22,18,2020-01-11
My Type,Saweetie,London On Da Track,27,24,15,2020-01-11
Make It Right,BTS Featuring Lauv,FRED,28,28,9,2020-01-11
Good Thing,Zedd & Kehlani,"Zedd, Starsmith, Lostboy",31,29,6,2020-01-11
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",30,30,5,2020-01-11
Slow Dance,AJ Mitchell & Ava Max,(),29,28,14,2020-01-11
We Made It,Louis Tomlinson,(),32,32,4,2020-01-11
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,35,33,2,2020-01-11
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",34,34,3,2020-01-11
Juicy,Doja Cat & Tyga,"TYSON TRAX, Yeti",38,35,3,2020-01-11
All The Good Girls Go To Hell,Billie Eilish,Finneas,33,20,13,2020-01-11
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",37,35,6,2020-01-11
Checklist,MAX Featuring Chromeo,(),36,36,3,2020-01-11
Yellow Hearts,Ant Saunders,A.Saunders,40,39,2,2020-01-11
I'm Not Alright,Loud Luxury & Bryce Vine,"Loud Luxury, Trackside",-,35,7,2020-01-11
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",1,1,20,2020-01-18
Lose You To Love Me,Selena Gomez,Mattman & Robin,3,2,12,2020-01-18
Good As Hell,Lizzo,Ricky Reed,2,1,18,2020-01-18
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",4,4,17,2020-01-18
Someone You Loved,Lewis Capaldi,TMS,5,1,30,2020-01-18
Dance Monkey,Tones And I,K.Kersting,7,6,12,2020-01-18
Don't Start Now,Dua Lipa,I.Kirkpatrick,9,7,10,2020-01-18
Panini,Lil Nas X,"Take A Daytrip, Dot Da Genius",6,6,25,2020-01-18
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",13,9,8,2020-01-18
Trampoline,SHAED,"SHAED, A.Mendoza",8,4,32,2020-01-18
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,11,11,14,2020-01-18
Only Human,Jonas Brothers,Shellback,10,3,28,2020-01-18
Yummy,Justin Bieber,"Kid Culture, Poo Bear, S.Sirota",22,13,2,2020-01-18
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",15,14,7,2020-01-18
Truth Hurts,Lizzo,"Ricky Reed, Tele",14,1,33,2020-01-18
Graveyard,Halsey,"J.Bellion, L.Bell, Ojivolta, The Monsters & Strangerz",12,10,17,2020-01-18
Everything I Wanted,Billie Eilish,Finneas,19,17,7,2020-01-18
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",18,18,6,2020-01-18
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",17,17,11,2020-01-18
Lover,Taylor Swift,"J.M.Antonoff, T.Swift",16,16,19,2020-01-18
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",21,21,5,2020-01-18
Nice To Meet Ya,Niall Horan,J.Bunetta,20,19,15,2020-01-18
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",23,23,13,2020-01-18
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,33,24,3,2020-01-18
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",25,25,9,2020-01-18
Raising Hell,Kesha Featuring Big Freedia,(),24,24,10,2020-01-18
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",34,27,4,2020-01-18
Make It Right,BTS Featuring Lauv,FRED,28,28,10,2020-01-18
Good Thing,Zedd & Kehlani,"Zedd, Starsmith, Lostboy",29,29,7,2020-01-18
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",30,30,6,2020-01-18
What Am I,Why Don't We,(),26,22,19,2020-01-18
My Type,Saweetie,London On Da Track,27,24,16,2020-01-18
Slow Dance,AJ Mitchell & Ava Max,(),31,28,15,2020-01-18
We Made It,Louis Tomlinson,(),32,32,5,2020-01-18
Juicy,Doja Cat & Tyga,"TYSON TRAX, Yeti",35,35,4,2020-01-18
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",-,36,1,2020-01-18
Underdog,Alicia Keys,"J.McDaid, Alicia Keys",-,37,1,2020-01-18
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",37,35,7,2020-01-18
Yellow Hearts,Ant Saunders,A.Saunders,39,39,3,2020-01-18
Before You Go,Lewis Capaldi,TMS,-,40,1,2020-01-18
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",1,1,21,2020-01-25
Lose You To Love Me,Selena Gomez,Mattman & Robin,2,2,13,2020-01-25
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",4,3,18,2020-01-25
Good As Hell,Lizzo,Ricky Reed,3,1,19,2020-01-25
Someone You Loved,Lewis Capaldi,TMS,5,1,31,2020-01-25
Don't Start Now,Dua Lipa,I.Kirkpatrick,7,6,11,2020-01-25
Dance Monkey,Tones And I,K.Kersting,6,6,13,2020-01-25
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",9,8,9,2020-01-25
Panini,Lil Nas X,"Take A Daytrip, Dot Da Genius",8,6,26,2020-01-25
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,11,10,15,2020-01-25
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",14,11,8,2020-01-25
Yummy,Justin Bieber,"Kid Culture, Poo Bear, S.Sirota",13,12,3,2020-01-25
Trampoline,SHAED,"SHAED, A.Mendoza",10,4,33,2020-01-25
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",19,14,12,2020-01-25
Only Human,Jonas Brothers,Shellback,12,3,29,2020-01-25
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",18,16,7,2020-01-25
Everything I Wanted,Billie Eilish,Finneas,17,17,8,2020-01-25
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",21,18,6,2020-01-25
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,24,19,4,2020-01-25
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",27,20,5,2020-01-25
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",23,21,14,2020-01-25
Graveyard,Halsey,"J.Bellion, L.Bell, Ojivolta, The Monsters & Strangerz",16,10,18,2020-01-25
You Should Be Sad,Halsey,G.Kurstin,-,23,1,2020-01-25
Lover,Taylor Swift,"J.M.Antonoff, T.Swift",20,16,20,2020-01-25
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",25,25,10,2020-01-25
Nice To Meet Ya,Niall Horan,J.Bunetta,22,19,16,2020-01-25
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",30,27,7,2020-01-25
Good Thing,Zedd & Kehlani,"Zedd, Starsmith, Lostboy",29,28,8,2020-01-25
Make It Right,BTS Featuring Lauv,FRED,28,28,11,2020-01-25
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",-,30,1,2020-01-25
Raising Hell,Kesha Featuring Big Freedia,(),26,24,11,2020-01-25
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",36,32,2,2020-01-25
Underdog,Alicia Keys,"J.McDaid, Alicia Keys",37,33,2,2020-01-25
Juicy,Doja Cat & Tyga,"TYSON TRAX, Yeti",35,34,5,2020-01-25
Before You Go,Lewis Capaldi,TMS,40,35,2,2020-01-25
We Made It,Louis Tomlinson,(),34,32,6,2020-01-25
My Type,Saweetie,London On Da Track,32,24,17,2020-01-25
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",38,35,8,2020-01-25
Yellow Hearts,Ant Saunders,A.Saunders,39,39,4,2020-01-25
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",-,40,1,2020-01-25
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",1,1,22,2020-02-01
Lose You To Love Me,Selena Gomez,Mattman & Robin,2,2,14,2020-02-01
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",3,3,19,2020-02-01
Good As Hell,Lizzo,Ricky Reed,4,1,20,2020-02-01
Don't Start Now,Dua Lipa,I.Kirkpatrick,6,5,12,2020-02-01
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",8,6,10,2020-02-01
Dance Monkey,Tones And I,K.Kersting,7,6,14,2020-02-01
Someone You Loved,Lewis Capaldi,TMS,5,1,32,2020-02-01
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,10,9,16,2020-02-01
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",11,10,9,2020-02-01
Yummy,Justin Bieber,"Kid Culture, Poo Bear, S.Sirota",12,11,4,2020-02-01
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",14,12,13,2020-02-01
Panini,Lil Nas X,"Take A Daytrip, Dot Da Genius",9,6,27,2020-02-01
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",16,14,8,2020-02-01
Trampoline,SHAED,"SHAED, A.Mendoza",13,4,34,2020-02-01
Everything I Wanted,Billie Eilish,Finneas,17,16,9,2020-02-01
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",18,17,7,2020-02-01
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,19,18,5,2020-02-01
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",30,19,2,2020-02-01
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",20,20,6,2020-02-01
You Should Be Sad,Halsey,G.Kurstin,23,21,2,2020-02-01
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",21,21,15,2020-02-01
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",25,23,11,2020-02-01
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",27,24,8,2020-02-01
Good Thing,Zedd & Kehlani,"Zedd, Starsmith, Lostboy",28,25,9,2020-02-01
Make It Right,BTS Featuring Lauv,FRED,29,26,12,2020-02-01
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",32,27,3,2020-02-01
Underdog,Alicia Keys,"J.McDaid, Alicia Keys",33,28,3,2020-02-01
Graveyard,Halsey,"J.Bellion, L.Bell, Ojivolta, The Monsters & Strangerz",22,10,19,2020-02-01
Before You Go,Lewis Capaldi,TMS,35,30,3,2020-02-01
Nice To Meet Ya,Niall Horan,J.Bunetta,26,19,17,2020-02-01
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",38,32,9,2020-02-01
Juicy,Doja Cat & Tyga,"TYSON TRAX, Yeti",34,33,6,2020-02-01
Yellow Hearts,Ant Saunders,A.Saunders,39,34,5,2020-02-01
Raising Hell,Kesha Featuring Big Freedia,(),31,24,12,2020-02-01
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",40,36,2,2020-02-01
We Made It,Louis Tomlinson,(),36,32,7,2020-02-01
My Type,Saweetie,London On Da Track,37,24,18,2020-02-01
Walking,88rising & Joji & Jackson Wang Featuring Swae Lee &Major Lazer,(),-,39,1,2020-02-01
The Box,Roddy Ricch,30Roc,-,40,1,2020-02-01
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",3,1,20,2020-02-08
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",1,1,23,2020-02-08
Lose You To Love Me,Selena Gomez,Mattman & Robin,2,2,15,2020-02-08
Don't Start Now,Dua Lipa,I.Kirkpatrick,5,4,13,2020-02-08
Good As Hell,Lizzo,Ricky Reed,4,1,21,2020-02-08
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",6,6,11,2020-02-08
Dance Monkey,Tones And I,K.Kersting,7,6,15,2020-02-08
Someone You Loved,Lewis Capaldi,TMS,8,1,33,2020-02-08
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",12,9,14,2020-02-08
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",10,10,10,2020-02-08
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,9,9,17,2020-02-08
Yummy,Justin Bieber,"Kid Culture, Poo Bear, S.Sirota",11,11,5,2020-02-08
Everything I Wanted,Billie Eilish,Finneas,16,13,10,2020-02-08
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",14,14,9,2020-02-08
Trampoline,SHAED,"SHAED, A.Mendoza",15,4,35,2020-02-08
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",17,16,8,2020-02-08
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",19,17,3,2020-02-08
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,18,18,6,2020-02-08
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",20,19,7,2020-02-08
You Should Be Sad,Halsey,G.Kurstin,21,20,3,2020-02-08
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",22,21,16,2020-02-08
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",23,22,12,2020-02-08
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",24,23,9,2020-02-08
Make It Right,BTS Featuring Lauv,FRED,26,24,13,2020-02-08
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",27,25,4,2020-02-08
Good Thing,Zedd & Kehlani,"Zedd, Starsmith, Lostboy",25,25,10,2020-02-08
Underdog,Alicia Keys,"J.McDaid, Alicia Keys",28,27,4,2020-02-08
Before You Go,Lewis Capaldi,TMS,30,28,4,2020-02-08
Cuz I Love You,Lizzo,X Ambassadors,-,29,1,2020-02-08
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",32,30,10,2020-02-08
The Man,Taylor Swift,"J.Little, T.Swift",-,31,1,2020-02-08
Yellow Hearts,Ant Saunders,A.Saunders,34,32,6,2020-02-08
Graveyard,Halsey,"J.Bellion, L.Bell, Ojivolta, The Monsters & Strangerz",29,10,20,2020-02-08
The Box,Roddy Ricch,30Roc,40,34,2,2020-02-08
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",36,35,3,2020-02-08
Rare,Selena Gomez,"Sir Nolan, Simon Says",-,36,1,2020-02-08
Juicy,Doja Cat & Tyga,"TYSON TRAX, Yeti",33,33,7,2020-02-08
Ride It.,Regard,Regard,-,38,1,2020-02-08
Sad Tonight,Chelsea Cutler,(),-,39,1,2020-02-08
Nice To Meet Ya,Niall Horan,J.Bunetta,31,19,18,2020-02-08
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",2,1,24,2020-02-15
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",1,1,21,2020-02-15
Don't Start Now,Dua Lipa,I.Kirkpatrick,4,3,14,2020-02-15
Lose You To Love Me,Selena Gomez,Mattman & Robin,3,2,16,2020-02-15
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",6,5,12,2020-02-15
Dance Monkey,Tones And I,K.Kersting,7,6,16,2020-02-15
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",9,7,15,2020-02-15
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",10,8,11,2020-02-15
Good As Hell,Lizzo,Ricky Reed,5,1,22,2020-02-15
Someone You Loved,Lewis Capaldi,TMS,8,1,34,2020-02-15
Everything I Wanted,Billie Eilish,Finneas,13,11,11,2020-02-15
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,11,9,18,2020-02-15
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",14,13,10,2020-02-15
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",17,14,4,2020-02-15
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",19,15,8,2020-02-15
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",16,16,9,2020-02-15
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,18,17,7,2020-02-15
Yummy,Justin Bieber,"Kid Culture, Poo Bear, S.Sirota",12,11,6,2020-02-15
You Should Be Sad,Halsey,G.Kurstin,20,19,4,2020-02-15
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",23,20,10,2020-02-15
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",22,21,13,2020-02-15
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",25,22,5,2020-02-15
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",21,21,17,2020-02-15
Cuz I Love You,Lizzo,X Ambassadors,29,24,2,2020-02-15
The Man,Taylor Swift,"J.Little, T.Swift",31,25,2,2020-02-15
Rare,Selena Gomez,"Sir Nolan, Simon Says",36,26,2,2020-02-15
Make It Right,BTS Featuring Lauv,FRED,24,24,14,2020-02-15
Underdog,Alicia Keys,"J.McDaid, Alicia Keys",27,27,5,2020-02-15
Before You Go,Lewis Capaldi,TMS,28,28,5,2020-02-15
Know Your Worth,Khalid x Disclosure,Disclosure,-,30,1,2020-02-15
The Box,Roddy Ricch,30Roc,34,31,3,2020-02-15
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",30,30,11,2020-02-15
Say So,Doja Cat,TYSON TRAX,-,33,1,2020-02-15
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",35,34,4,2020-02-15
Yellow Hearts,Ant Saunders,A.Saunders,32,32,7,2020-02-15
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",-,36,1,2020-02-15
Ride It.,Regard,Regard,38,37,2,2020-02-15
